YEAR,CAN_ESM2|45 PPMEAN,CESM1_BGC|45 PPMEAN,GFDL_ESM2G|45 PPMEAN,GFDL_ESM2M|45 PPMEAN,HADGEM2_CC|45 PPMEAN,HADGEM2_ES|45 PPMEAN,IPSL_CM5A_LR|45 PPMEAN,IPSL_CM5A_MR|45 PPMEAN,IPSL_CM5B_LR|45 PPMEAN,MIROC_ESM|45 PPMEAN,MPI_ESM_LR|45 PPMEAN,MPI_ESM_MR|45 PPMEAN,NORESM1|45 PPMEAN
2054,560.0754395,430.0925293,446.3002625,584.4262695,186.7786102,140.3995667,257.632782,205.0387573,158.1275024,106.3388824,195.0055695,146.9788361,310.0811462
2055,555.8922729,436.8696289,425.3589478,611.8652954,180.2735443,157.1343384,208.3757629,203.0680084,170.7974854,100.7320633,191.5312195,160.7351074,280.2815247
2056,576.5772095,390.3836975,440.6360474,608.1345215,191.6573029,164.0626678,236.1633759,207.688324,179.0302429,104.7369614,202.1430817,153.678894,314.5170898
2057,539.758606,407.3987732,403.5856628,593.5447388,181.0432892,156.7101288,240.498642,197.1197205,176.5585327,107.8457184,182.0170746,147.2230988,309.4747925
2058,572.8623047,430.9161987,439.5627136,611.9943237,163.8075714,160.0627747,218.0768127,211.9161377,168.1355286,101.4007034,202.1186523,155.9886169,296.9875488
2059,546.6836548,426.0103455,407.427063,596.883728,156.2297516,154.8516083,238.3089294,240.5183258,176.7268829,97.25659943,180.762085,142.1136932,307.1580811
2060,546.9150391,425.1207275,465.2183228,636.6835938,161.340271,158.5127716,247.2529144,236.5508423,159.4366608,100.9660263,159.7424927,144.3663025,300.9817505
2061,513.567688,429.4094849,459.1316223,626.2474365,167.2529602,126.5503159,237.2341614,240.3370819,164.0866852,100.6664581,179.2071228,154.9666748,308.9422607
2062,523.6782837,391.7843628,480.5812988,647.9059448,164.3824921,133.7713165,222.7727966,245.270874,164.2839813,101.1416397,192.3287354,139.879776,327.8756104
2063,560.9888916,417.1730957,485.6686401,621.1082764,189.6681976,126.9328766,231.0930634,216.4004974,162.7518463,102.0302505,172.6479034,147.1905212,293.6012878
2064,578.2565308,416.0542603,458.0433044,600.3475952,173.8822327,112.8710938,222.2501526,202.0765228,177.460968,105.5558624,180.4524689,159.7734833,293.1404419
2065,604.0987549,415.0195923,442.0953064,612.0237427,167.4924164,109.9521561,200.3557434,207.0784912,150.4121857,102.9007339,188.1340942,158.9290619,300.5520935
2066,623.4840698,428.3283691,439.2131348,619.1989136,164.2621613,100.806427,192.8924866,206.8999939,155.1914368,109.2963409,192.0495605,152.9351501,301.9789124
2067,585.3947144,406.3284302,432.4052429,617.9151001,154.4599457,112.8846359,193.9482574,203.7635651,155.0490112,111.6838379,179.3303986,137.6078491,304.3517456
2068,523.9430542,416.7973938,437.0447388,576.7932129,143.6241455,114.2530365,173.0211029,228.2513275,169.734375,112.2124023,172.8648529,129.5499115,314.1778564
2069,524.3792114,438.8139038,443.4750977,611.2770386,139.8127441,120.2015305,171.2709351,231.3853149,165.3822632,108.3293152,185.2750244,134.2144928,290.8743286
2070,535.3181152,432.6134033,467.2926636,635.9121094,145.1255341,106.2681274,172.5233307,233.338974,153.1462555,110.4124985,167.3061523,136.7971802,327.9743042
2071,499.0694275,450.844635,475.2455139,602.9082031,150.1794586,90.41016388,192.8016357,210.6954346,164.3134613,114.7256012,180.9803009,145.3261566,297.2585449
2072,484.0950928,431.5798035,451.0401611,593.0823975,146.5868225,122.111557,181.6043243,207.0846558,178.251709,117.7812805,172.0686188,146.0205078,287.5449829
2073,543.7868042,429.3186646,436.6995239,596.7059326,129.8971558,118.6797943,186.8869324,197.6729736,181.0810089,110.0687714,170.164856,139.9848938,273.8250122
2074,529.4754028,419.0761719,472.4720764,578.9196167,134.9275665,124.724472,187.8378448,214.3059235,158.3614197,105.9363937,170.9654999,133.9115448,273.6919556
2075,485.2911072,432.3970947,458.3980408,602.6542969,132.2368011,132.4398804,204.7957611,216.1260681,204.4154053,102.4754639,189.2188721,136.3702087,311.0509338
2076,492.611145,414.3853149,451.2781982,620.7749023,130.6618652,122.7434921,179.8593445,215.8631134,184.1934204,104.4655075,171.1816559,139.6920471,279.9818726
2077,504.9069214,412.1014709,456.7650757,585.7965088,132.0502777,120.9515305,167.6251678,226.9104156,188.7490082,106.875618,196.3138123,138.3810883,310.9467773
2078,520.9140625,423.8180847,437.7190247,580.6627808,118.6440506,137.8432159,156.1325378,246.217804,187.9229431,104.8154755,172.3939667,130.9077911,308.0472412
2079,511.3404236,417.52005,440.0047302,589.3817749,118.3360214,120.3469696,152.4184418,233.5063782,180.7138367,109.674324,177.2980652,132.462616,318.0237122
2080,528.2008057,424.3075256,447.778595,611.0966187,141.6355286,122.0720215,161.8142395,201.4404602,210.5713959,107.1244202,182.5354309,135.5858765,281.4347229
2081,509.4091797,419.2749023,455.0874023,591.8363647,149.0167236,100.1118851,182.2382202,203.3428497,204.5469513,109.9460983,161.6000824,138.2364197,315.9555359
2082,534.3708496,437.2990417,427.1391296,587.4033813,137.7329407,94.9630661,157.8505096,203.3778839,184.6859283,110.128273,175.4672394,137.6322174,309.8434753
2083,493.7361145,419.7164001,441.0793457,590.3917847,144.8569031,95.98124695,155.3013306,192.2917786,195.903656,110.5794144,167.9974976,122.3203049,275.0063477
2084,471.7716064,425.4839172,424.0411072,607.927063,141.09198,92.63166046,141.977829,197.3746948,150.7900848,110.1361237,168.5576935,152.6939697,327.9930115
2085,462.2337952,400.7044067,435.6288452,608.2249146,145.2498627,97.93292236,166.8483582,192.5766296,152.0953064,108.9152908,176.9867096,132.9127655,297.2679138
2086,534.2505493,412.858429,425.320343,611.6084595,146.8443451,108.1649246,172.5026398,203.778183,173.6782379,114.5394287,152.2655945,127.5623474,299.1652832
2087,544.7171631,389.900116,418.6961975,607.2930298,127.5366898,109.2758179,181.1247406,202.6869354,199.7060699,114.5112762,147.5992737,125.0822372,307.6354675
2088,537.8924561,429.9793396,419.8757629,614.440979,120.8896179,121.802475,179.4768372,195.0555878,158.1633301,110.9945145,166.2458344,140.8117676,291.9752197
2089,527.8768311,426.0154114,452.3389587,615.0829468,106.3765717,106.0591431,182.2789154,195.977417,178.2053528,116.0874405,171.3641663,153.14534,280.3305359
2090,510.1066284,435.0286255,421.0279846,580.0372314,108.5127945,98.19946289,189.3322449,194.9924927,183.5104218,115.7161407,194.4689178,143.1570892,309.1212158
2091,513.758606,424.123291,421.4160156,580.8069458,115.8800049,88.24889374,185.6099396,187.1363983,178.9008636,111.5036163,181.6027069,156.2966919,273.3564453
2092,546.1101685,406.2880249,423.5802002,579.3049316,93.53606415,68.76442719,198.4748535,191.8384705,181.9761658,112.5152817,195.0857239,136.5180054,301.5136108
2093,475.9743958,453.9260864,435.0490112,570.4440918,74.8786087,92.71292877,188.4139404,184.9861755,179.8381653,117.3010635,193.7566071,148.2499695,280.541626
2094,509.5356445,406.1633911,451.2410583,592.0756226,116.0924072,78.42569733,197.5482025,186.1312408,248.3086243,121.9503937,193.8664856,151.1192017,319.119812
2095,559.31073,411.9750061,428.5694885,586.0792236,113.1971741,101.6808701,203.5647888,200.8598022,245.6591339,118.6141052,174.8491974,138.7467346,294.4622498
2096,572.4119263,425.7066345,419.7332153,572.7603149,108.8330231,113.8204956,186.4036102,197.6518707,227.2124939,121.6983566,166.1190796,138.3831635,290.7025452
2097,543.2660522,419.8837891,449.7757568,563.5304565,117.5868759,124.0792313,191.2415619,197.8449402,207.8503571,118.2470779,158.4097137,145.8583374,272.0058899
2098,459.4976196,425.1222839,445.721344,561.8850098,104.3429184,127.938652,206.2824554,199.6999664,165.3559723,118.1011658,170.5453339,146.2751465,285.0218811
2099,440.001709,409.4137573,434.7607117,568.9185181,112.7873001,117.0699692,205.6588593,198.9621429,171.0072632,119.9982605,175.8708344,136.1150818,287.6969604
